Image,Category,Otsu,Otsu_Hull,LBP,LBP_Hull,SRM,SRM_Hull
ISIC_0000030.jpg,melanoma,0.678859899898973,0.7676739715258841,0.6956864773766183,0.801033377378279,0.5999983995632586,0.7207980783165353
ISIC_0000046.jpg,melanoma,0.8675763092639476,0.9278605713097514,0.7786086554899677,0.8881924194637222,0.7239919906251185,0.7760110083326963
ISIC_0000049.jpg,melanoma,0.6430619498726221,0.7403069553819155,0.6733015984569667,0.7735252055675451,0.5862308138799337,0.6751961186148259
ISIC_0000140.jpg,melanoma,0.9105250908719096,0.9303650997094117,0.9149473887356191,0.9288314726628772,0.9071261470372181,0.9276584477066736
ISIC_0000142.jpg,melanoma,0.8952783872065098,0.91643545128055,0.9150951622009877,0.9366470055696325,0.9257484271320701,0.9544159531466977
ISIC_0000143.jpg,melanoma,0.7072450813681352,0.7694709950633355,0.7664361790005837,0.8254970186223372,0.7022058533840528,0.7501533308276651
ISIC_0000145.jpg,melanoma,0.9862322207656241,0.9835876101619184,0.99009249747348,0.9698139982406823,0.9856107495329139,0.9761503023575273
ISIC_0000146.jpg,melanoma,0.8832634333117736,0.9375798132558147,0.9010254218353007,0.9592976291583359,0.827726466250206,0.9041883147614538
ISIC_0000150.jpg,melanoma,0.8103946868892337,0.8823638293281578,0.8841129091214023,0.8996426656947344,0.8062439780979015,0.8824296480901553
ISIC_0000151.jpg,melanoma,0.826811560083998,0.8661301801859197,0.9237322732958048,0.934173760684711,0.8766728039629742,0.9085114992332687
ISIC_0000000.jpg,nevus,0.9273240562620232,0.9504347888527462,0.9826344474723319,0.984908761586236,0.9015339745335847,0.940557158809113
ISIC_0000001.jpg,nevus,0.9795372324389509,0.9615664183172815,0.8818908034594309,0.8551377563676811,0.9470238973299897,0.9332390812208631
ISIC_0000008.jpg,nevus,0.9235714535602791,0.9496685873762466,0.9639081630025492,0.9764435345371277,0.9432576607403701,0.9670354451099434
ISIC_0000019.jpg,nevus,0.8708337955681444,0.9000432241150166,0.909072698974206,0.9366177600171125,0.8591773842469901,0.8969889289483564
ISIC_0000024.jpg,nevus,0.6410766472654044,0.7621065020400984,0.6543082451473089,0.9103653655089327,0.6772515432370165,0.7669204312541245
ISIC_0000042.jpg,nevus,0.7982498887417191,0.8542004698132856,0.8401029233714075,0.8952492484094245,0.7208534222502591,0.7912488721676512
ISIC_0000045.jpg,nevus,0.9529011186614131,0.9570566324256813,0.9570071399326074,0.9524732118996923,0.8865787543165918,0.8999472029229957
ISIC_0000080.jpg,nevus,0.941247827491096,0.9550226043216875,0.9731059296627921,0.9607239367295785,0.9611175356655298,0.9593705583866621
ISIC_0000095.jpg,nevus,0.8078412821720196,0.900913717924764,0.6271082837155599,0.6939142652288216,0.8461831096072645,0.8940361810001064
ISIC_0000112.jpg,nevus,0.707139324350542,0.8499854907778299,0.6758922603776445,0.9137016686033552,0.7861336539424907,0.8401208988087912
